ids,mols,y
2961,O=C(CC(O)CO)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,1.0
2958,OCC1OC(OC2[C@@H](CO)O[C@@H](O)C(O)[C@H]2O)[C@H](O)C(O)C1O,1.0
2966,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(C)C)NC(=O)C(CCO)NCC=O,1.0
2969,CC1OC(OC2C(OC3COC(O)C(O)C3O)OC(CO)C(O)C2O)C(O)C(O)C1O,1.0
2786,CC(C)C(NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
2968,CC(OC1OC(CO)C(O)C(O)C1O)C1CO1,1.0
2753,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2792,CCC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)O,1.0
2788,CCC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(C)C(=O)NC(CC(N)=O)C(=O)O,1.0
2787,CC(C)C(NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)O,1.0
2793,CCC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CCCCN)C(=O)O,1.0
2790,CCC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(C)C(=O)O,1.0
2806,CC(C)CC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(C(=O)NC(CC(N)=O)C(=O)O)C(C)C,1.0
2803,CC(C)CC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O,1.0
2797,CCC(C)C(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(C)C)C(=O)NC(CC(N)=O)C(=O)O,1.0
2804,CC(C)CC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC(N)=O)C(=O)O,1.0
2802,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2782,NC(=O)CC(NC(=O)CNC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2809,NCCCCC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC(N)=O)C(=O)O,1.0
2785,NCCCCC(NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
2813,CC(C)C(NC(=O)C(CC(=O)O)NC(=O)C(CCCCN)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2810,NCCCCC(NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NCC(=O)O,1.0
2763,NC(CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)O,1.0
2764,CC(NC(=O)C(CO)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2759,CCC(C)C(NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2760,CC(C)CC(NC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2762,CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2770,CC(C)CC(NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2771,NCCCCC(NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2773,CC(NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(=O)O)C(=O)O,1.0
2766,CC(C)CC(NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(N)CC1=CC=CC=C1)C(C)C)C(=O)O,1.0
2774,NCCCCC(NC(=O)C(CC(N)=O)NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2815,CCC(C)C(NC(=O)C(CCCCN)NC(=O)C(N)CC1=CC=CC=C1)C(=O)NC(CC(N)=O)C(=O)O,1.0
2778,CCC(C)C(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
2775,CC(NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(N)CC1=CC=CC=C1)C(=O)O,1.0
