descriptor,feature selection,algorithm,test_roc_auc_score,test_precision_score,test_ner_score,test_recall_score,test_f1_score,blend_roc_auc_score,blend_precision_score,blend_ner_score,blend_recall_score,blend_f1_score
ecfp4,Boruta,rf,0.9095412794119584,0.9058940069341258,0.9095412794119584,0.9135864135864136,0.9097239492663516,0.8386537126995142,0.9,0.8386537126995142,0.761970853573907,0.8252536640360767
ecfp4,KbestFS,rf,0.9178926022994665,0.9132690882134916,0.9178926022994662,0.9230769230769232,0.9181468140603652,0.8615544760582927,0.9249592169657422,0.8615544760582928,0.7869535045107564,0.8503937007874015
ecfp4,none,svm,0.9249555778715192,0.9366016427104724,0.9249555778715192,0.9113386613386614,0.9237974683544304,0.8546148507980569,0.9420415224913494,0.8546148507980569,0.7557251908396947,0.8386599922988063
ecfp4,SelectFromModelFS,svm,0.9217209674185552,0.9310520939734422,0.9217209674185552,0.9105894105894106,0.9207070707070708,0.8501040943789036,0.933791917454858,0.8501040943789036,0.7536433032616239,0.8341013824884792
ecfp4,KbestFS,svm,0.9234444056316724,0.941866527632951,0.9234444056316724,0.9023476523476524,0.9216836734693876,0.8469812630117974,0.9520795660036168,0.8469812630117973,0.7307425399028452,0.8268551236749117
ecfp4,Boruta,svm,0.9080047656894212,0.9206594538897476,0.9080047656894212,0.8926073926073926,0.9064164341871672,0.821998612074948,0.9195298372513564,0.821998612074948,0.7057598889659958,0.7985865724381627
ecfp4,none,dnn,0.9214200062558678,0.953494623655914,0.921420006255868,0.8858641358641358,0.9184360435007768,0.8303261623872311,0.9594594594594594,0.8303261623872311,0.6897987508674531,0.8025837706903513
ecfp4,SelectFromModelFS,dnn,0.9226729810850676,0.9516817939135076,0.9226729810850676,0.8903596403596403,0.92,0.8351839000693962,0.9548022598870056,0.8351839000693962,0.703678001387925,0.8102277267279265
ecfp4,KbestFS,dnn,0.9211818708523508,0.9481658692185008,0.9211818708523508,0.8908591408591409,0.91861962400206,0.83587786259542,0.955743879472693,0.8358778625954199,0.7043719639139486,0.8110267678785458
ecfp4,Boruta,dnn,0.9091262815771644,0.9803519061583578,0.9091262815771644,0.8349150849150849,0.9018073914216348,0.7841776544066621,0.9823321554770318,0.7841776544066621,0.5787647467036781,0.7283842794759826
ecfp8,none,rf,0.9163941008009648,0.9130111524163568,0.9163941008009648,0.92007992007992,0.9165319069536012,0.8546148507980569,0.9188524590163936,0.8546148507980569,0.7779319916724496,0.8425403983464862
ecfp8,SelectFromModelFS,rf,0.9139039895692468,0.90972050457581,0.913903989569247,0.9185814185814186,0.9141294892506524,0.851145038167939,0.9147540983606556,0.851145038167939,0.7744621790423317,0.8387824126268321
ecfp8,KbestFS,rf,0.9125361706187372,0.9072520966946226,0.9125361706187372,0.9185814185814186,0.9128816083395384,0.8525329632199862,0.9177631578947368,0.8525329632199861,0.7744621790423317,0.8400451637184795
ecfp8,Boruta,rf,0.9065669781598656,0.896829268292683,0.9065669781598656,0.9183316683316683,0.9074531095755184,0.844205412907703,0.8993558776167472,0.844205412907703,0.7751561415683553,0.8326500186358554
ecfp8,none,svm,0.9199737715654156,0.9303635432667692,0.9199737715654156,0.9075924075924076,0.9188369152970922,0.8473282442748091,0.9355961705831156,0.8473282442748091,0.7460097154753643,0.8301158301158301
ecfp8,SelectFromModelFS,svm,0.9184816054375864,0.9275140377743748,0.9184816054375864,0.9075924075924076,0.9174450896238324,0.8445523941707147,0.9276485788113696,0.8445523941707148,0.7473976405274115,0.82782475019216
ecfp8,KbestFS,svm,0.9128653925035422,0.9253539253539254,0.9128653925035422,0.8978521478521478,0.9113956141462796,0.834142956280361,0.9333933393339334,0.8341429562803608,0.7196391394864677,0.8126959247648904
ecfp8,Boruta,svm,0.9111203084406267,0.9237702807107906,0.9111203084406267,0.8958541458541458,0.9095980727779892,0.8268563497571132,0.9235611510791368,0.8268563497571131,0.7126995142262318,0.8045436741088915
