ids,mols,y
265165,C=C(C)C1CC[C@]2(C)[C@@H](CC(O[C@@H]3OCC(O)C(O)C3O)[C@H]3[C@@H]([C@@](C)(O)C/C=C/C(C)(C)O)CC[C@@]32C)[C@]1(C)CCC(=O)O,1.0
265168,C=C1C[C@@]23CCC4[C@@](C)(C(=O)OC5OC(CO)C(O)C(O)C5OC5OC(CO)C(O)C(O)C5O)CCC[C@@]4(C)C2CC[C@]1(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O)C3,1.0
265170,C=C1C[C@@]23CC[C@H]4[C@@](C)(C(=O)OC5OC(CO)C(O)C(O)C5O)CCC[C@@]4(C)[C@@H]2CC[C@@]1(O[C@@H]1OC(CO)C(O)C(O)C1O)C3,1.0
265329,CC(C)=CCCC(C)=CCO,1.0
265377,CC(C)=CCCC(C)=CC=O,1.0
265880,C=C(C)[C@@H]1CC=C(C=O)CC1,1.0
265866,OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,1.0
265872,OC[C@@H](O)[C@@H](O)C(O)[C@H](O)[C@H](O)CO,1.0
264821,OCC1OC(OC2(CCl)OC(CO)C(O)C2O)C(O)C(O)C1O,1.0
264843,CC(NC(=O)C(N)CC(=O)O)NC(=O)C12CC3CC(CC(C3)C1)C2,1.0
264838,CC(NC(=O)C(N)CC(=O)O)NC(=O)C1C(C)(C)CCC1(C)C,1.0
264781,OCC1OCC(O)C(O)C1O,1.0
264875,CCCOC1=CC=C(NC(N)=O)C=C1,1.0
264775,CN(C)C(N)=O,1.0
264823,CSCC1OC(O)(CSC)C(O)C1O,1.0
266266,CCC/C=C/CO,1.0
266249,CCCC(=O)OCC1CCCO1,1.0
265161,CC1CCC(C(C)C2CCC3C4CC(=O)C5CC(OC6OC(CO)C(O)C(O)C6OC6OC(C)C(O)C(O)C6O)CC[C@]5(C)C4CC[C@@]23C)OC1OC1OC(C)C(O)C(O)C1O,1.0
266255,CCCCOC(=O)CC(=O)OCC,1.0
266259,CCC(C)C(=O)O,1.0
266230,C=C(C)CCCC(C)CCOC(=O)CCC,1.0
266244,CCCCCCC#CC(=O)OC,1.0
265040,CC(C)COC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O,1.0
264927,CC(CC1=CC=CC=C1)NC(=O)C(N)CC(=O)O,1.0
266228,CCCC(=O)C(CC)CC1=CC=CC=C1,1.0
266270,CCCCC/C=C/COC(C)=O,1.0
265018,NC(CC(=O)O)C(=O)NCCC(=O)OC1CCCCC1,1.0
266252,CCC/C=C/C=C/C=O,1.0
266237,CCOC1=CC2=CC=CC=C2C=C1,1.0
264886,CCC1=C(C)C(=O)NS(=O)(=O)O1,1.0
266232,COC(=O)CCC1=CC=CC=C1,1.0
266256,CC/C=C\CCOC(=O)CCCCC,1.0
265171,OC1=CC=C(C2OC3=C(CC2O)C(O)=CC(O)=C3C2C3=C(O)C=C4O[C@]5(C6=CC=C(O)C=C6)OC6=CC(O)=CC(O)=C6[C@@H](C4=C3OC(C3=CC=C(O)C=C3)C2O)[C@@H]5O)C=C1,1.0
265030,CCOC(=O)C(CO)NC(=O)C(N)CC(=O)O,1.0
266317,CCC(=O)C(C)=O,1.0
266285,CCC/C=C/COC(=O)CCC,1.0
266319,CC/C=C\CCOC(=O)C(C)O,1.0
266367,CCCCCCCC(=O)OCCCCCC,1.0
266286,CCCCCCC/C=C/C(=O)OCC,1.0
266325,CCCCCCCCCC(C)=O,1.0
266282,O=CCCC1=CC=CC=C1,1.0
266290,O=C(OCCC1=CC=CC=C1)C1=C(O)C=CC=C1,1.0
266369,CCCCCC#CC(=O)OC,1.0
266339,CCCCC/C(C=O)=C/C1=CC=CC=C1,1.0
266337,C=CC(C)(CCC=C(C)C)OC(=O)CC,1.0
266326,CCC(=O)/C=C/C1C(C)=CCCC1(C)C,1.0
266293,CCOC(=O)CCSC,1.0
266313,C=CC(C)(O)CC/C=C(\C)CCC=C(C)C,1.0
266299,C/C=C/C(C)C(=O)OCC,1.0
266356,CCCCCCCOC(=O)CCCCCCC,1.0
266353,CC(C)=CCCC(C)CC(=O)O,1.0
265326,CC(C)=CCCC(C)=CCOC(=O)CC(C)C,1.0
266376,CCC(=O)OCC1CCCO1,1.0
266351,CC(C)CCOC(=O)/C=C/C1=CC=CC=C1,1.0
266320,C=CC(=C)CCC=C(C)C,1.0
